Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
candor,1,1,9900,61,2.42,https://www.candormedical.com/,7920,62.42,19166,0.25,11700000,"66, 66, 66, 66, 100, 81, 81, 81, 66, 44, 54, 54",2026-04-28 21:53:26,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
candor medical,1,1,3600,42,1.78,https://www.candormedical.com/,2880,22.7,5126,0.51,4580000,"43, 43, 28, 66, 100, 81, 81, 66, 43, 43, 28, 28",2026-04-29 04:21:32,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",navigational,Organic
candor login,1,1,590,16,0.16,https://app.candormedical.com/,472,3.72,75,0.02,5090000,"54, 44, 67, 81, 81, 67, 67, 67, 54, 54, 44, 54",2026-03-29 16:58:59,"Sitelinks, Related searches","navigational, transactional",Organic
candir,1,1,260,60,2.42,https://www.candormedical.com/,208,1.63,503,0.25,10900000,"66, 54, 35, 29, 29, 8, 100, 66, 81, 66, 81, 54",2026-03-27 23:07:18,"Sitelinks, Video, Related searches",navigational,Organic
candor sign in,1,1,140,17,0.51,https://app.candormedical.com/,112,0.88,57,0.08,100,"34, 53, 34, 53, 43, 53, 65, 43, 43, 28, 12, 12",2026-03-26 11:33:05,"Sitelinks, Related searches","navigational, transactional",Organic
candor app,1,1,110,28,0.61,https://app.candormedical.com/,88,0.69,53,0.21,142,"42, 52, 52, 66, 66, 66, 80, 66, 52, 33, 19, 33",2026-03-29 14:31:36,"Sitelinks, Related searches","navigational, transactional",Organic
candor medical contact number,1,1,110,27,1.72,https://www.candormedical.com/,88,0.69,151,0.33,0,"9, 9, 23, 52, 100, 100, 100, 80, 33, 33, 23, 19",2026-03-18 07:46:16,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
candor medical australia,1,1,110,28,2.97,https://www.candormedical.com/,88,0.69,261,0.68,552000,"34, 34, 53, 100, 43, 34, 34, 28, 15, 15, 15, 15",2026-04-27 12:02:26,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
candormedical,1,1,110,46,1.63,https://www.candormedical.com/,88,0.69,143,0.58,7110000,"26, 26, 34, 34, 53, 42, 42, 53, 19, 100, 19, 26",2026-03-24 19:51:36,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
candor australia,1,1,90,18,3.73,https://www.candormedical.com/,72,0.56,268,0.63,2500000,"100, 100, 100, 81, 100, 63, 63, 45, 45, 63, 45, 63",2026-03-09 19:01:15,"Sitelinks, Video, Image, Related searches",navigational,Organic
condor medical,1,1,70,28,3.86,https://www.candormedical.com/,56,0.44,216,0.63,0,"78, 50, 64, 78, 78, 78, 50, 50, 50, 21, 21, 14",2026-03-19 06:50:16,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
csndor,1,1,70,56,2.42,https://www.candormedical.com/,56,0.44,135,0.25,11400000,"1, 1, 0, 0, 1, 0, 0, 0, 1, 100, 0, 0",2026-04-01 04:27:36,"Sitelinks, Video, Video Carousel, Related searches",navigational,Organic
candor medical login,1,1,70,20,0.62,https://app.candormedical.com/,56,0.44,34,0.09,3640000,"41, 52, 41, 41, 41, 41, 64, 17, 11, 100, 52, 41",2026-04-26 16:53:28,"Sitelinks, Video, People also ask, Related searches","navigational, transactional",Organic
candoor,1,0,70,18,1.12,https://www.candormedical.com/,56,0.44,62,0.06,7,"100, 100, 77, 100, 77, 55, 77, 77, 55, 77, 55, 77",2026-04-22 07:58:38,"Image pack, Sitelinks, People also ask, Related searches",navigational,Organic
candor contact number,1,1,50,12,1.71,https://www.candormedical.com/contact,40,0.31,68,0.23,3090000,"11, 11, 11, 11, 100, 64, 41, 52, 11, 11, 11, 11",2026-04-28 04:59:57,"Ads bottom, People also ask, Related searches",informational,Organic
candor catalogue,1,1,50,18,2.69,https://www.candormedical.com/,40,0.31,107,0.52,319000,"29, 29, 100, 82, 29, 41, 17, 23, 11, 17, 11, 11",2026-03-24 18:54:03,"Image pack, Sitelinks, People also ask, Related searches","informational, transactional",Organic
candor medical phone number,1,1,50,17,1.65,https://www.candormedical.com/contact,40,0.31,66,0.2,2800000,"18, 18, 27, 63, 100, 100, 63, 63, 18, 18, 18, 18",2026-04-28 05:49:08,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
candor medical weed,1,0,40,,5.41,https://www.candormedical.com/,32,0.25,173,0.76,183000,"18, 18, 18, 18, 18, 18, 63, 63, 18, 27, 100, 63",2026-04-15 07:51:36,"Sitelinks, People also ask, Related searches",navigational,Organic
cnador,1,0,40,52,2.42,https://www.candormedical.com/,32,0.25,77,0.25,11700000,"2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 100, 0",2026-04-15 17:20:13,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
candour,7,0,2400,40,0,https://app.candormedical.com/,21,0.16,0,0,89400000,"65, 65, 82, 82, 82, 82, 82, 100, 65, 82, 82, 55",2026-04-29 03:53:44,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
candor login,2,2,590,16,0.16,https://www.candormedical.com/,15,0.11,2,0.02,5090000,"54, 44, 67, 81, 81, 67, 67, 67, 54, 54, 44, 54",2026-03-29 16:58:59,"Sitelinks, Related searches","navigational, transactional",Organic
candor candor,1,0,70,49,0,https://www.candormedical.com/,13,0.1,0,0,11700000,"0, 0, 0, 0, 0, 0, 0, 100, 66, 4, 0, 2",2026-04-11 23:27:22,"Instant answer, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
online medical marijuanas,6,4,390,50,74.47,https://www.candormedical.com/,11,0.08,819,0.06,222,"66, 54, 44, 66, 100, 81, 54, 44, 54, 36, 36, 29",2026-04-05 04:00:34,"Video, Related searches, AI overview",informational,Organic
online cannabis prescription australia,7,7,480,51,0,https://www.candormedical.com/,11,0.08,0,0,4760000,"81, 81, 81, 81, 81, 66, 100, 81, 100, 81, 66, 54",2026-03-24 00:00:47,"Video, Related searches, AI overview",informational,Organic
candor login,3,3,590,16,0.16,https://www.candormedical.com/pricing-guide,10,0.07,1,0.02,5090000,"54, 44, 67, 81, 81, 67, 67, 67, 54, 54, 44, 54",2026-03-29 16:58:59,"Sitelinks, Related searches","navigational, transactional",Organic
telehealth alternative medicine,1,0,70,48,0,https://www.candormedical.com/,9,0.07,0,0,41900000,"55, 100",2026-04-14 21:34:56,"Video, People also ask, Related searches, AI overview",informational,Organic
camdor,1,1,40,35,2.42,https://www.candormedical.com/,9,0.07,21,0.25,0,"7, 100, 3, 3, 3, 0, 53, 3, 7, 3, 3, 0",2026-03-14 09:34:21,"Video, Video Carousel, Related searches, See results about","informational, transactional",Organic
alt med,1,0,320,74,66.82,https://www.candormedical.com/,7,0.05,467,0.41,503000000,"66, 100, 15, 9, 36, 19, 23, 23, 54, 81, 36, 44",2026-04-08 15:52:58,"Sitelinks, Related searches, AI overview","informational, navigational",AI overview
medical cannabis online,6,6,320,49,0,https://www.candormedical.com/,7,0.05,0,0,113000000,"17, 11, 17, 17, 17, 17, 39, 39, 48, 48, 59, 26",2026-04-22 09:18:48,"Video, Related searches, Discussions and forums",commercial,Organic
medical cannabis consultation,6,6,210,53,0,https://www.candormedical.com/,7,0.05,0,0,152,"23, 17, 28, 28, 17, 12, 66, 66, 82, 100, 100, 43",2026-03-27 12:39:15,"Knowledge panel, Related searches",informational,Organic
condor dr,3,0,90,16,0,https://www.candormedical.com/,7,0.05,0,0.04,16700000,"52, 41, 41, 52, 52, 52, 41, 52, 41, 64, 52, 100",2026-04-20 00:01:10,"Video, Related searches",informational,Organic
c a n d o u r,7,0,1000,56,0,https://app.candormedical.com/,6,0.04,0,0,121000000,"55, 65, 0, 0, 0, 0, 0, 0, 100, 65, 82, 55",2026-04-17 15:00:02,"Instant answer, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
medicalmarijuana.org,15,8,1000,70,0,https://www.candormedical.com/,5,0.03,0,0,18000000,"82, 100, 0, 0, 0, 0, 0, 0, 100, 82, 82, 0",2026-04-02 07:33:03,,informational,Organic
candor medical reviews,3,3,170,36,3.26,https://www.candormedical.com/,5,0.03,16,0.32,1530000,"53, 43, 43, 21, 100, 65, 81, 65, 43, 43, 53, 21",2026-03-11 18:10:12,"Knowledge panel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
candor medical reviews,10,10,170,36,3.26,http://www.candormedical.com/,5,0.03,16,0.32,1530000,"53, 43, 43, 21, 100, 65, 81, 65, 43, 43, 53, 21",2026-03-11 18:10:12,"Knowledge panel, Related searches, Discussions and forums, AI overview","commercial, informational",Knowledge panel
medical cannabis consult,4,4,90,39,0,https://www.candormedical.com/,5,0.03,0,0,0,"63, 63, 100, 100, 63, 63, 45, 81, 100, 63, 63, 63",2026-03-07 13:19:11,"Video, Related searches, Discussions and forums",commercial,Organic
camdor,2,2,40,35,2.42,https://app.candormedical.com/,5,0.03,12,0.25,0,"7, 100, 3, 3, 3, 0, 53, 3, 7, 3, 3, 0",2026-03-14 09:34:21,"Video, Video Carousel, Related searches, See results about","informational, transactional",Organic
weed prescription online,6,6,210,44,0,https://www.candormedical.com/,5,0.03,0,0,31800000,"28, 65, 34, 81, 81, 65, 65, 100, 81, 81, 100, 100",2026-04-06 03:50:57,"Video, Related searches, Discussions and forums",commercial,Organic
candor login,5,5,590,16,0.16,https://www.candormedical.com/contact,5,0.03,0,0.02,5090000,"54, 44, 67, 81, 81, 67, 67, 67, 54, 54, 44, 54",2026-03-29 16:58:59,"Sitelinks, Related searches","navigational, transactional",Organic
