URL,Traffic,Number of Keywords,Traffic (%),Primary Intent,Top Keyword
https://www.dispensed.com.au/,4325.93,158,62.37,—,—
https://app.dispensed.com.au/accounts/login/,2201.07,5,31.74,—,—
https://www.dispensed.com.au/blog/what-is-wellbeing,237.48,49,3.42,—,—
https://www.dispensed.com.au/reviews,118.94,5,1.71,—,—
https://app.dispensed.com.au/,21.43,2,0.31,—,—
https://www.dispensed.com.au/info/contact-us,21.28,1,0.31,—,—
https://dev-veterancann.dispensed.com.au/,5.48,2,0.08,—,—
https://www.dispensed.com.au/location/melbourne,1.64,2,0.02,—,—
https://www.dispensed.com.au/location/perth,0.78,4,0.01,—,—
https://www.dispensed.com.au/location/gold-coast,0.59,2,0.01,—,—
https://qa-veterancann.dispensed.com.au/accounts/login/,0.38,1,0.01,—,—
https://www.dispensed.com.au/location/brisbane,0.19,1,0.0,—,—
https://www.dispensed.com.au/location/sydney,0.19,1,0.0,—,—
https://www.dispensed.com.au/info/pricing,0.15,1,0.0,—,—
