Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
dispensed,1,12100,3678.4,https://www.dispensed.com.au/,7,7.38,informational,"organic,people_also_ask,related_searches,images"
dispensed login,1,6600,2006.4,https://app.dispensed.com.au/accounts/login/,4,13.65,navigational,"organic,related_searches"
dispensed australia,1,1300,300.35,https://www.dispensed.com.au/,10,11.99,informational,"organic,people_also_ask,video,paid,related_searches"
dispensed dashboard,1,480,145.92,https://app.dispensed.com.au/accounts/login/,8,2.07,transactional,organic
astrid dispensary,1,1000,71.1,https://www.dispensed.com.au/,11,14.83,navigational,"organic,local_pack,people_also_ask,paid,related_searches"
dispensed review,2,390,63.18,https://www.dispensed.com.au/reviews,0,16.81,informational,"organic,people_also_ask,related_searches"
free medical cannabis consultation,1,140,42.56,https://www.dispensed.com.au/,35,0,informational,"organic,local_pack,people_also_ask,related_searches"
dispensed reviews,3,390,37.95,https://www.dispensed.com.au/reviews,0,16.81,informational,"ai_overview,organic,people_also_ask,related_searches"
dispense login,1,90,27.36,https://app.dispensed.com.au/accounts/login/,0,19.39,navigational,"organic,people_also_ask,related_searches"
dispensed australia strains,1,90,27.36,https://www.dispensed.com.au/,8,0,commercial,"ai_overview,organic,people_also_ask,images,related_searches"
dispensed clinic,1,90,27.36,https://www.dispensed.com.au/,8,10.93,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
dispense app,1,70,21.28,https://app.dispensed.com.au/,11,3.73,informational,"organic,people_also_ask,related_searches"
dispensed app,1,70,21.28,https://app.dispensed.com.au/accounts/login/,5,3.73,informational,"organic,people_also_ask,related_searches"
dispensed australia products,1,70,21.28,https://www.dispensed.com.au/,15,4.42,commercial,"ai_overview,organic,people_also_ask,related_searches,images"
dispensed pharmacy,1,70,21.28,https://www.dispensed.com.au/,1,2.77,informational,"organic,people_also_ask,local_pack,related_searches"
dispensed phone number,1,70,21.28,https://www.dispensed.com.au/info/contact-us,1,4.33,informational,"organic,people_also_ask,related_searches"
well being,43,9900,20.79,https://www.dispensed.com.au/blog/what-is-wellbeing,44,9.03,informational,"ai_overview,organic,people_also_ask,images,video,related_searches"
wellbeing,45,9900,20.79,https://www.dispensed.com.au/blog/what-is-wellbeing,50,9.03,informational,"ai_overview,organic,people_also_ask,related_searches,knowledge_graph,images"
dispensed labs,1,50,15.2,https://www.dispensed.com.au/,3,7.23,informational,"organic,people_also_ask,related_searches"
dispensed product list,3,140,13.62,https://www.dispensed.com.au/,17,4.9,informational,"ai_overview,organic,images,people_also_ask,related_searches"
wellbeing definition,22,5400,11.88,https://www.dispensed.com.au/blog/what-is-wellbeing,46,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
wellbeing meaning,22,5400,11.88,https://www.dispensed.com.au/blog/what-is-wellbeing,40,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
define well being,47,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
define well-being,48,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
define wellbeing,50,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,39,0,informational,"ai_overview,organic,people_also_ask,related_searches"
defining well being,97,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,34,0,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches,images"
definition for wellbeing,50,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,40,0,informational,"ai_overview,organic,people_also_ask,short_videos,related_searches"
definition of wellbeing,49,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,39,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
definition wellbeing,52,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,46,0,informational,"ai_overview,organic,people_also_ask,related_searches"
dispensaries,58,5400,11.34,https://www.dispensed.com.au/,14,0,commercial,"local_pack,people_also_ask,organic,related_searches"
dispensary,40,5400,11.34,https://www.dispensed.com.au/,21,0,commercial,"local_pack,people_also_ask,organic,related_searches"
dispensed strains,2,70,11.34,https://www.dispensed.com.au/,1,2.28,informational,"ai_overview,organic,people_also_ask,related_searches"
meaning well being,38,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,related_searches"
well being meaning,45,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,related_searches"
well-being definition,54,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,40,0,informational,"ai_overview,people_also_ask,organic,short_videos,scholarly_articles,related_searches"
wellbeing define,42,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,41,0,informational,"ai_overview,people_also_ask,organic,short_videos,related_searches"
wellbeing definitions,81,5400,11.34,https://www.dispensed.com.au/blog/what-is-wellbeing,13,0,informational,"ai_overview,organic,people_also_ask,video,scholarly_articles,related_searches,images"
dispense direct,10,1000,11.3,https://www.dispensed.com.au/,0,19.16,informational,"organic,related_searches,google_reviews,knowledge_graph"
medical marijuanas tasmania,2,320,9.6,https://www.dispensed.com.au/,9,45.05,informational,"organic,discussions_and_forums,people_also_ask,paid,related_searches,knowledge_graph,google_reviews"
medical cannabis free consultation,1,30,9.12,https://www.dispensed.com.au/,35,0,informational,"organic,ai_overview,related_searches"
dispensed australia review,3,90,8.76,https://www.dispensed.com.au/reviews,2,15.95,informational,"ai_overview,organic,people_also_ask,related_searches"
dispensed australia reviews,3,90,8.76,https://www.dispensed.com.au/reviews,1,15.95,informational,"organic,people_also_ask,ai_overview,related_searches"
medical marijuanas australia,68,3600,7.56,https://www.dispensed.com.au/,29,31.24,informational,"ai_overview,local_pack,organic,discussions_and_forums,related_searches,images"
