URL,Traffic,Number of Keywords,Traffic (%),Primary Intent,Top Keyword
https://greencare.com.au/,704.99,134,64.11,—,—
https://greencare.com.au/pages/foliumdispensary/,165.66,5,15.06,—,—
https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,84.29,14,7.66,—,—
https://greencare.com.au/tips-for-starting-and-maintaining-a-health-and-wellness-routine/,31.63,1,2.88,—,—
https://greencare.com.au/meditation-expert-shares-tantric-meditation-guide-to-enhance-intimacy-for-couples/,30.31,4,2.76,—,—
https://greencare.com.au/pages/greencare-treatments-w/,21.28,1,1.94,—,—
https://greencare.com.au/dean-gladstone/,13.84,1,1.26,—,—
https://greencare.com.au/healthsummary/,7.52,3,0.68,—,—
https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,6.4,9,0.58,—,—
https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,4.98,13,0.45,—,—
https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,4.87,12,0.44,—,—
https://greencare.com.au/why-hair-health-matters-for-your-overall-wellbeing/,4.21,4,0.38,—,—
https://greencare.com.au/why-men-should-not-ignore-the-early-signs-of-hair-loss/,4.07,3,0.37,—,—
https://greencare.com.au/the-essential-guide-to-preventing-burnout/,3.25,7,0.3,—,—
https://greencare.com.au/harmony-of-body-and-mind-unlocking-the-benefits-of-yoga/,2.56,3,0.23,—,—
https://greencare.com.au/wellness-experts/,2.1,2,0.19,—,—
https://greencare.com.au/concession-program/,1.7,3,0.15,—,—
https://greencare.com.au/a-practical-guide-to-crushing-your-new-years-health-and-wellness-resolutions/,1.2,3,0.11,—,—
https://greencare.com.au/general-practice/,0.88,4,0.08,—,—
https://greencare.com.au/natural-health/,0.82,1,0.07,—,—
https://greencare.com.au/5-ways-meditation-improves-your-physical-health/,0.79,3,0.07,—,—
https://greencare.com.au/you-are-what-you-eat-foods-to-help-improve-your-gut-microbiome/,0.78,5,0.07,—,—
https://greencare.com.au/how-to-escape-the-fight-or-flight-mode/,0.5,2,0.05,—,—
https://greencare.com.au/breathe-easy-the-power-of-breathwork/,0.41,1,0.04,—,—
https://greencare.com.au/is-self-care-the-latest-buzzword-or-is-it-something-we-should-all-be-focusing-on/,0.34,2,0.03,—,—
https://greencare.com.au/about-greencare/,0.2,1,0.02,—,—
https://greencare.com.au/thrive-through-lifes-changes-womens-health-services-at-greencare/,0.1,1,0.01,—,—
