Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
greencare,1,1300,395.2,https://greencare.com.au/,0,7.59,informational,"organic,local_pack,related_searches,images"
folium dispensary,4,2400,158.16,https://greencare.com.au/pages/foliumdispensary/,2,5.5,navigational,"local_pack,organic,related_searches"
greencare clinics,1,480,145.92,https://greencare.com.au/,2,8.24,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
inner calmness,5,880,41.27,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,12,1.24,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
wellness routines,4,480,31.63,https://greencare.com.au/tips-for-starting-and-maintaining-a-health-and-wellness-routine/,34,1.12,informational,"ai_overview,organic,people_also_ask,images,video,related_searches"
greencare reviews,1,70,21.28,https://greencare.com.au/pages/greencare-treatments-w/,0,6.84,informational,"organic,local_pack,people_also_ask,related_searches"
green clinic,2,90,14.58,https://greencare.com.au/,16,10.8,navigational,"organic,related_searches"
green clinics,2,90,14.58,https://greencare.com.au/,20,10.8,informational,"organic,local_pack,related_searches,images"
dean gladstone,4,210,13.84,https://greencare.com.au/dean-gladstone/,13,0.91,informational,"knowledge_graph,organic,people_also_ask,perspectives,carousel,video,related_searches,images"
my green medical,9,880,13.2,https://greencare.com.au/,8,17.88,navigational,"organic,related_searches,knowledge_graph,google_reviews"
being calm,7,390,9.98,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,39,0.69,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,images,related_searches"
greenacre medical centre,44,4400,9.24,https://greencare.com.au/,0,3.16,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
green health,4,140,9.23,https://greencare.com.au/,0,16.56,informational,"ai_overview,organic,people_also_ask,images,related_searches"
meditation tantric,4,140,9.23,https://greencare.com.au/meditation-expert-shares-tantric-meditation-guide-to-enhance-intimacy-for-couples/,0,0,informational,"ai_overview,video,people_also_ask,organic,discussions_and_forums,related_searches,images"
tantric meditation,4,140,9.23,https://greencare.com.au/meditation-expert-shares-tantric-meditation-guide-to-enhance-intimacy-for-couples/,0,0,informational,"ai_overview,video,people_also_ask,organic,images"
alternative healthcare,5,170,7.97,https://greencare.com.au/,41,6.5,informational,"organic,local_pack,people_also_ask,related_searches,images"
calm and peace,3,70,6.81,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,14,0,informational,"ai_overview,video,people_also_ask,organic,discussions_and_forums,related_searches"
green street dispensary,48,2900,6.09,https://greencare.com.au/,3,7.89,navigational,"organic,local_pack,related_searches"
couple meditation,4,90,5.93,https://greencare.com.au/meditation-expert-shares-tantric-meditation-guide-to-enhance-intimacy-for-couples/,0,2.44,informational,"ai_overview,video,people_also_ask,organic,discussions_and_forums,short_videos,related_searches,images"
couples meditation,4,90,5.93,https://greencare.com.au/meditation-expert-shares-tantric-meditation-guide-to-enhance-intimacy-for-couples/,0,2.44,informational,"ai_overview,organic,video,people_also_ask,images,related_searches"
folium dispensary rose bay,11,590,5.37,https://greencare.com.au/pages/foliumdispensary/,7,18.21,navigational,"knowledge_graph,google_reviews,organic,people_also_ask,related_searches"
green life robina,56,2400,5.04,https://greencare.com.au/,0,4.04,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
peace and calmness,3,50,4.86,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,5,0,informational,"ai_overview,images,people_also_ask,organic,video,related_searches"
peacefulness and calmness,3,50,4.86,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,2,0,informational,"ai_overview,video,people_also_ask,organic,discussions_and_forums,related_searches"
my green clinic,7,170,4.35,https://greencare.com.au/,2,0,navigational,"local_pack,organic,related_searches"
greenlife clinics,45,1900,3.99,https://greencare.com.au/,0,6.43,navigational,"local_pack,organic,people_also_ask"
green life clinics,41,1900,3.75,https://greencare.com.au/,0,6.43,navigational,"local_pack,organic,people_also_ask,paid,related_searches,google_reviews"
health summary,7,140,3.58,https://greencare.com.au/healthsummary/,0,0.92,informational,"ai_overview,organic,people_also_ask,images,related_searches"
calmness,11,390,3.55,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,38,0,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
kush clinics,26,1600,3.36,https://greencare.com.au/,0,48.01,commercial,"organic,related_searches,knowledge_graph,google_reviews,images"
verde clinic,51,1600,3.36,https://greencare.com.au/,9,1.37,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,third_party_reviews"
peace & calm,4,50,3.3,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,0,0,informational,"ai_overview,images,people_also_ask,video,organic,popular_products,discussions_and_forums,related_searches"
