URL,Traffic,Number of Keywords,Traffic (%),Primary Intent,Top Keyword
https://www.healingleaves.com.au/,786.27,68,62.49,—,—
https://www.healingleaves.com.au/compare/healing-leaves-vs-easykind,335.38,6,26.65,—,—
https://www.healingleaves.com.au/compare/healing-leaves-vs-polln,40.85,3,3.25,—,—
https://www.healingleaves.com.au/contact,21.28,1,1.69,—,—
https://www.healingleaves.com.au/faqs/how-do-i-setup-my-your-script-account,11.73,2,0.93,—,—
https://www.healingleaves.com.au/compare/healing-leaves-vs-dispensed,10.11,2,0.8,—,—
https://www.healingleaves.com.au/regions/act,9.26,22,0.74,—,—
https://www.healingleaves.com.au/western-australia-telehealth-clinic,6.51,12,0.52,—,—
https://www.healingleaves.com.au/education/how-to-get-a-health-summary,5.78,4,0.46,—,—
https://www.healingleaves.com.au/regions/regional-tasmania,4.89,6,0.39,—,—
https://www.healingleaves.com.au/south-australia-telehealth-clinic,4.54,7,0.36,—,—
https://www.healingleaves.com.au/education,4.37,2,0.35,—,—
https://www.healingleaves.com.au/regions/south-west-sydney,3.57,5,0.28,—,—
https://www.healingleaves.com.au/regions/townsville-and-north-queensland,2.99,5,0.24,—,—
https://www.healingleaves.com.au/regions/derwent-valley,2.3,1,0.18,—,—
https://www.healingleaves.com.au/find-a-pharmacy-or-dispensary-for-your-script,1.39,2,0.11,—,—
https://www.healingleaves.com.au/regions/northern-territory,1.34,4,0.11,—,—
https://www.healingleaves.com.au/regions/queensland,1.26,4,0.1,—,—
https://www.healingleaves.com.au/regions/new-south-wales-telehealth-clinic,1.06,5,0.08,—,—
https://www.healingleaves.com.au/regions/metropolitan-australia,0.67,1,0.05,—,—
https://www.healingleaves.com.au/regions/gold-coast,0.65,5,0.05,—,—
https://www.healingleaves.com.au/education/exploring-alternative-wellness-practices-what-you-should-know,0.59,2,0.05,—,—
https://www.healingleaves.com.au/regions/north-coast-nsw,0.58,2,0.05,—,—
https://www.healingleaves.com.au/regions/kimberley,0.3,1,0.02,—,—
https://www.healingleaves.com.au/pharmacies,0.23,1,0.02,—,—
https://www.healingleaves.com.au/education/the-path-to-wellness-listening-to-your-bodys-natural-rhythm,0.22,2,0.02,—,—
https://www.healingleaves.com.au/regions/sunshine-coast,0.19,1,0.02,—,—
