Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
healing leaves,1,1600,486.4,https://www.healingleaves.com.au/,0,6.42,informational,"organic,images,people_also_ask,discussions_and_forums,related_searches"
easykind,9,22200,333,https://www.healingleaves.com.au/compare/healing-leaves-vs-easykind,1,5.3,navigational,"organic,short_videos,related_searches,google_reviews,knowledge_graph"
healing leaves clinic,1,480,145.92,https://www.healingleaves.com.au/,0,8.91,navigational,"organic,people_also_ask,related_searches"
leaf doctors,13,8100,47.79,https://www.healingleaves.com.au/,0,7.06,navigational,"organic,related_searches,knowledge_graph,google_reviews,images"
polln,11,3600,32.76,https://www.healingleaves.com.au/compare/healing-leaves-vs-polln,0,26.29,informational,"organic,related_searches,google_reviews,knowledge_graph"
healing leaves phone number,1,70,21.28,https://www.healingleaves.com.au/contact,0,6.12,informational,"organic,ai_overview,people_also_ask,related_searches"
healing leaves products list,2,70,11.34,https://www.healingleaves.com.au/,17,21.05,navigational,"ai_overview,organic,people_also_ask,related_searches"
your script,2,70,11.34,https://www.healingleaves.com.au/faqs/how-do-i-setup-my-your-script-account,24,22.21,informational,"organic,related_searches"
leaf doctor,12,1300,9.75,https://www.healingleaves.com.au/,4,6.55,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
leaf doctors login,13,1600,9.44,https://www.healingleaves.com.au/,0,5.56,navigational,"organic,related_searches"
healing leaves review,3,90,8.76,https://www.healingleaves.com.au/compare/healing-leaves-vs-dispensed,0,24.85,informational,"organic,people_also_ask,ai_overview,related_searches"
healing leaves reviews,3,90,8.76,https://www.healingleaves.com.au/,0,24.85,informational,"ai_overview,organic,people_also_ask,related_searches,images"
polln reviews,5,170,7.97,https://www.healingleaves.com.au/compare/healing-leaves-vs-polln,0,22.2,informational,"organic,ai_overview,people_also_ask,related_searches"
leaf doctors reviews,9,480,7.2,https://www.healingleaves.com.au/,0,13.23,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
little leaf clinic,3,70,6.81,https://www.healingleaves.com.au/,0,9.66,navigational,"organic,knowledge_graph,google_reviews"
alternate leaf,12,720,5.08,https://www.healingleaves.com.au/,2,14.31,informational,"paid,organic,people_also_ask,related_searches,images"
true green health dispensary,58,2400,5.04,https://www.healingleaves.com.au/,0,11.64,commercial,"local_pack,organic,related_searches"
my leaf,22,2400,4.96,https://www.healingleaves.com.au/,0,2.43,informational,"organic,people_also_ask,related_searches,paid,knowledge_graph,google_reviews,images"
health summary from gp,5,90,4.22,https://www.healingleaves.com.au/education/how-to-get-a-health-summary,0,4.3,informational,"ai_overview,organic,people_also_ask,related_searches"
leaf doctors strathpine,8,210,4.14,https://www.healingleaves.com.au/,23,5.97,informational,"organic,related_searches"
mindful leaf,8,210,4.14,https://www.healingleaves.com.au/education,0,0,informational,"organic,google_reviews,knowledge_graph,images"
cannabis doctors tasmania,16,720,3.1,https://www.healingleaves.com.au/regions/regional-tasmania,1,0,commercial,"organic,people_also_ask,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
derwent valley natural health clinic,7,90,2.3,https://www.healingleaves.com.au/regions/derwent-valley,0,0,navigational,"organic,related_searches,third_party_reviews,google_reviews,knowledge_graph"
leaf doctors price list,7,90,2.3,https://www.healingleaves.com.au/,3,8.26,commercial,"ai_overview,organic,people_also_ask,images,related_searches"
my leaf brisbane,7,90,2.3,https://www.healingleaves.com.au/,0,11.41,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
medical marijuanas perth,80,1000,2.1,https://www.healingleaves.com.au/western-australia-telehealth-clinic,20,41.12,commercial,"local_pack,organic,discussions_and_forums,related_searches,images"
triniti health,50,1000,2.1,https://www.healingleaves.com.au/,0,14.65,navigational,"organic,related_searches,google_reviews,knowledge_graph"
alternative medicine,65,880,1.85,https://www.healingleaves.com.au/regions/south-west-sydney,52,17.01,informational,"featured_snippet,people_also_ask,organic,local_pack,related_searches,knowledge_graph,images"
la feuille pharmacy,50,880,1.85,https://www.healingleaves.com.au/,0,38.73,informational,"organic,related_searches,knowledge_graph,google_reviews,third_party_reviews,images"
lead doctor,8,90,1.77,https://www.healingleaves.com.au/,28,9.72,informational,"organic,images,people_also_ask,related_searches,knowledge_graph,google_reviews"
leaf dr,15,320,1.63,https://www.healingleaves.com.au/,3,7.18,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
medreleaf clinic,45,720,1.51,https://www.healingleaves.com.au/,0,9.41,navigational,"organic,people_also_ask,knowledge_graph,google_reviews"
medreleaf clinics,32,720,1.51,https://www.healingleaves.com.au/western-australia-telehealth-clinic,0,9.41,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
releaf clinics,32,720,1.51,https://www.healingleaves.com.au/,7,10.18,navigational,"organic,local_pack,related_searches"
dispensed vs alternaleaf,9,90,1.35,https://www.healingleaves.com.au/compare/healing-leaves-vs-dispensed,0,85.75,informational,"ai_overview,organic,people_also_ask,related_searches"
cannalink clinic,18,390,1.29,https://www.healingleaves.com.au/,9,41.86,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,third_party_reviews"
leaf doctors review,10,110,1.24,https://www.healingleaves.com.au/,0,16.25,informational,"organic,people_also_ask,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
easykind patient portal,39,590,1.24,https://www.healingleaves.com.au/compare/healing-leaves-vs-easykind,0,0,navigational,organic
how to get medical marijuanas,86,590,1.24,https://www.healingleaves.com.au/regions/act,27,45.35,informational,"ai_overview,organic,discussions_and_forums,video,related_searches"
