URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://herbly.com.au/,25.24,24,208,0,0,3,2,1,0,0,0,208,0,0,-1,"google, google-ai",herbly,Informational,2
https://herbly.com.au/pages/coffs-harbour-dispensary,19.53,32,161,0,3,10,1,16,0,26,25,1,126,0,-18,"google, search-gpt",dispensary near ne,Transactional,6
https://herbly.com.au/pages/bendigo-dispensary,11.65,7,96,0,1,0,3,0,0,86,0,10,0,0,88,"gemini, google-ai",dispensary dispensary,Navigational,2
https://herbly.com.au/pages/armidale-dispensary,7.03,4,58,0,1,1,0,1,0,13,45,0,45,0,58,,dispensary near me,"Transactional, Commercial",0
https://herbly.com.au/pages/port-macquarie-dispensary,4.73,5,39,0,0,4,0,0,0,0,39,0,0,0,39,google,medicinal cannabis port macquarie,Informational,1
https://herbly.com.au/pages/bunbury-dispensary,3.15,48,26,0,3,3,0,3,0,0,26,0,26,0,-40,google,cannabis shop near me,"Transactional, Commercial",1
https://herbly.com.au/pages/newtown-dispensary,2.91,67,24,0,5,5,7,4,0,16,0,4,4,0,7,"gemini, google, google-ai, search-gpt",newtown dispensary,Navigational,5
https://herbly.com.au/pages/wollongong-dispensary,2.66,39,22,0,3,9,2,10,0,3,17,0,18,0,-36,google,weed shop near me,Transactional,4
https://herbly.com.au/pages/byron-bay-dispensary,2.66,11,22,0,1,0,1,1,0,22,0,0,0,0,0,"gemini, google-ai",weed byron bay,"Transactional, Commercial",6
https://herbly.com.au/pages/morayfield-dispensary,2.54,13,21,0,0,1,0,2,0,0,0,0,21,0,0,google,medical canabis dispensary near.me,Transactional,3
https://herbly.com.au/pages/sunshine-coast-dispensary,1.82,24,15,0,2,7,0,1,0,2,13,0,0,0,-1,,medical cannabis sunshine coast,Informational,0
https://herbly.com.au/pages/townsville-dispensary,1.69,11,14,0,0,2,0,0,0,0,9,0,0,0,9,,medical marijuanas townsville,Informational,0
