Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
herbly,1,1,260,35,12.5,https://herbly.com.au/,208,25.24,2600,0.4,19100,"18, 18, 18, 18, 18, 35, 54, 54, 81, 81, 100, 100",2026-04-18 20:35:33,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
dispensary dispensary,5,0,3600,48,0,https://herbly.com.au/pages/bendigo-dispensary,86,10.43,0,0,113,"81, 44, 81, 100, 81, 100, 2, 44, 81, 66, 81, 53",2026-04-27 16:27:56,"Local pack, Video, Related searches",commercial,Organic
dispensary near me,2,0,1300,39,0,https://herbly.com.au/pages/armidale-dispensary,45,5.46,0,0,144000000,"54, 100, 24, 54, 66, 36, 54, 20, 79, 54, 100, 66",2026-04-23 13:59:26,"Local pack, Video, Image, Related searches, AI overview","informational, transactional",Organic
dispnsary near me,2,2,590,28,0,https://herbly.com.au/pages/coffs-harbour-dispensary,25,3.03,0,0,143000000,"72, 48, 59, 59, 48, 100, 100, 48, 39, 72, 59, 48",2026-03-24 01:21:41,"Local pack, Video, Image, Related searches",transactional,Organic
dispensary near ne,2,2,590,33,0,https://herbly.com.au/pages/coffs-harbour-dispensary,25,3.03,0,0,72,"76, 76, 76, 76, 67, 67, 0, 67, 0, 0, 2, 2",2026-03-19 10:58:52,"Local pack, Related searches",transactional,Organic
weed byron bay,1,1,90,11,2.5,https://herbly.com.au/pages/byron-bay-dispensary,22,2.66,55,0.06,1080000,"82, 52, 29, 52, 41, 29, 41, 52, 64, 52, 52, 52",2026-04-29 04:58:28,"Sitelinks, Video, Image, People also ask, Discussions and forums",commercial,Organic
medicinal cannabis port macquarie,1,0,90,1,0,https://herbly.com.au/pages/port-macquarie-dispensary,22,2.66,0,0,73,"0, 0, 0, 0, 0, 0, 28, 28, 17, 100, 53, 28",2026-04-12 05:34:06,"Video, Related searches, AI overview",informational,Organic
medical canabis dispensary near.me,2,2,260,31,57.59,https://herbly.com.au/pages/morayfield-dispensary,21,2.54,1209,0.53,188,"32, 26, 0, 0, 2, 1, 1, 0, 100, 48, 72, 59",2026-03-20 01:53:42,"Local pack, People also ask",transactional,Organic
cannabis shop near me,1,1,140,37,0,https://herbly.com.au/pages/bunbury-dispensary,18,2.18,0,0,63100000,"29, 29, 29, 29, 29, 29, 2, 22, 29, 29, 29, 29",2026-03-14 23:41:12,"Knowledge panel, Image, Related searches, AI overview","informational, transactional",Organic
cannabisstores,4,0,720,55,0,https://herbly.com.au/pages/coffs-harbour-dispensary,17,2.06,0,0,51000000,"76, 76, 0, 0, 67, 67, 76, 67, 67, 76, 76, 76",2026-04-07 11:02:14,"Local pack, Image, Video Carousel, People also ask, Related searches",commercial,Organic
