Topic,Subtopic,Keyword,Traffic,Volume,KD,Keyword Intents,Position,Position Type,URL
Local Medicinal Cannabis Access,dispnsary near me,dispnsary near me,25,590,28,transactional,2,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,dispensary near ne,25,590,33,transactional,2,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,cannabisstores,17,720,55,commercial,4,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,medical cannabinoids dispensary near me,13,210,44,transactional,3,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,medical cannabis dispensary near me,11,260,46,transactional,2,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,dispo near me,9,210,32,transactional,2,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,medical dispensary near me,9,110,45,transactional,2,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,cannabinoids dispensary near me,7,390,53,transactional,9,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,weed stores closest to me,7,90,40,informational,2,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispnsary near me,dispensaries near me,7,210,32,transactional,3,Organic,https://herbly.com.au/pages/coffs-harbour-dispensary
Local Medicinal Cannabis Access,dispensary dispensary,dispensary dispensary,86,3600,48,commercial,5,Organic,https://herbly.com.au/pages/bendigo-dispensary
Local Medicinal Cannabis Access,dispensary dispensary,dispensary bendigo,7,390,25,navigational,3,Organic,https://herbly.com.au/pages/bendigo-dispensary
Local Medicinal Cannabis Access,dispensary dispensary,bendigo dispensary,3,260,27,navigational,4,Organic,https://herbly.com.au/pages/bendigo-dispensary
Local Medicinal Cannabis Access,dispensary dispensary,medical marijuana dispensary,0,140,52,informational,39,Organic,https://herbly.com.au/pages/bendigo-dispensary
Local Medicinal Cannabis Access,dispensary dispensary,cannabis dispensary,0,260,36,commercial,75,Organic,https://herbly.com.au/pages/bendigo-dispensary
Local Medicinal Cannabis Access,dispensary dispensary,where to get medical weed,0,90,50,informational,78,Organic,https://herbly.com.au/pages/bendigo-dispensary
Local Medicinal Cannabis Access,dispensary dispensary,the dispensary bendigo,0,590,35,navigational,17,Organic,https://herbly.com.au/pages/bendigo-dispensary
Local Medicinal Cannabis Access,dispensary near me,dispensary near me,45,1300,39,"informational, transactional",2,Organic,https://herbly.com.au/pages/armidale-dispensary
Local Medicinal Cannabis Access,dispensary near me,dispensaries,13,390,50,commercial,1,Organic,https://herbly.com.au/pages/armidale-dispensary
Local Medicinal Cannabis Access,dispensary near me,acacia medical armidale,0,140,18,navigational,44,Organic,https://herbly.com.au/pages/armidale-dispensary
Local Medicinal Cannabis Access,medicinal cannabis port macquarie,medicinal cannabis port macquarie,22,90,1,informational,1,Organic,https://herbly.com.au/pages/port-macquarie-dispensary
Local Medicinal Cannabis Access,medicinal cannabis port macquarie,medical cannabis port macquarie,17,70,0,informational,1,Organic,https://herbly.com.au/pages/port-macquarie-dispensary
Local Medicinal Cannabis Access,medicinal cannabis port macquarie,dispensary close to me,0,1900,26,commercial,71,Organic,https://herbly.com.au/pages/port-macquarie-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,cannabis shop near me,26,140,37,"informational, transactional",1,AI overview,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,bunbury chemists,0,90,13,commercial,70,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,medical marijuana prescription online,0,50,-1,commercial,88,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,medical dispensary,0,110,55,commercial,60,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,mode healthcare bunbury,0,70,16,navigational,50,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,chemists bunbury,0,110,13,commercial,95,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,weed store online,0,50,38,commercial,27,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,medical cannabis wa,0,50,43,informational,76,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,mmj doctor near me,0,90,55,transactional,98,Organic,https://herbly.com.au/pages/bunbury-dispensary
Local Medicinal Cannabis Access,cannabis shop near me,medical cannabis pharmacy near me,0,90,29,transactional,44,Organic,https://herbly.com.au/pages/bunbury-dispensary
