Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
cannihelp,1,5400,383.94,https://nuleafclinics.com.au/,10,6.87,navigational,"organic,people_also_ask,paid,related_searches,knowledge_graph,google_reviews,third_party_reviews,images"
nuleaf,2,880,142.56,https://nuleafclinics.com.au/,0,13.54,informational,"organic,related_searches,knowledge_graph,google_reviews,images"
nuleaf clinics,1,140,42.56,https://nuleafclinics.com.au/,7,25.81,navigational,"organic,related_searches,knowledge_graph,google_reviews"
health books meaning,6,260,8.79,https://nuleafclinics.com.au/whats-a-health-summary-and-why-do-we-ask-for-it/,0,0,informational,"ai_overview,organic,people_also_ask"
summary about health,7,140,3.58,https://nuleafclinics.com.au/whats-a-health-summary-and-why-do-we-ask-for-it/,0,0.92,informational,"ai_overview,organic,people_also_ask,related_searches"
medreleaf clinic,41,720,1.51,https://nuleafclinics.com.au/,0,9.41,navigational,"organic,people_also_ask,knowledge_graph,google_reviews"
medreleaf clinics,35,720,1.51,https://nuleafclinics.com.au/,0,9.41,commercial,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
releaf clinics,41,720,1.51,https://nuleafclinics.com.au/,7,10.18,navigational,"organic,local_pack,related_searches"
new leaf medical clinic,13,210,1.24,https://nuleafclinics.com.au/,0,0,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
true leaf,52,390,0.82,https://nuleafclinics.com.au/,14,4.97,informational,"organic,people_also_ask,related_searches,images"
true leaf prahran,52,210,0.44,https://nuleafclinics.com.au/,4,2.15,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
health summary,27,140,0.29,https://nuleafclinics.com.au/whats-a-health-summary-and-why-do-we-ask-for-it/,0,0.92,informational,"ai_overview,organic,people_also_ask,images,related_searches"
true leaf dispensary,49,140,0.29,https://nuleafclinics.com.au/,28,5.12,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
folium north strathfield,52,110,0.23,https://nuleafclinics.com.au/,6,0,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
patient health summary,29,110,0.23,https://nuleafclinics.com.au/whats-a-health-summary-and-why-do-we-ask-for-it/,0,0.11,informational,"ai_overview,organic,people_also_ask,images,video"
true leaf clinic,33,90,0.19,https://nuleafclinics.com.au/,31,6.75,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
little leaf clinic,27,70,0.15,https://nuleafclinics.com.au/,0,9.66,navigational,"organic,knowledge_graph,google_reviews"
medreleaf telehealth clinics,30,70,0.15,https://nuleafclinics.com.au/,0,5.89,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
releaf bentleigh clinics and dispensaries,48,70,0.15,https://nuleafclinics.com.au/,0,3.46,navigational,"organic,related_searches,knowledge_graph,google_reviews"
medical summary,19,40,0.11,https://nuleafclinics.com.au/whats-a-health-summary-and-why-do-we-ask-for-it/,1,0,informational,"ai_overview,organic,people_also_ask,images,related_searches"
medical summaries,53,40,0.08,https://nuleafclinics.com.au/whats-a-health-summary-and-why-do-we-ask-for-it/,30,0,informational,"featured_snippet,people_also_ask,organic,images,video,related_searches"
