URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://www.polln.com/,62.22,616,2960,0,81,124,19,14,0,177,243,2530,2469,0,-295,"gemini, google, google-ai, search-gpt",polln,Informational,55
https://patient.polln.com/,13.39,6,637,0,0,0,3,3,0,0,0,637,637,0,0,google-ai,polln login,"Transactional, Navigational",1
https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,3.86,307,184,0,0,144,0,0,0,0,184,0,0,0,-9,"google, search-gpt",how long does weed stay in your system australia,Informational,97
https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,3.78,132,180,0,15,75,0,0,0,20,171,0,0,0,-204,,difference between indica and sativa,Informational,0
https://www.polln.com/library/how-much-does-medicinal-cannabis-cost-in-australia,3.27,40,156,0,0,29,0,2,0,0,154,0,2,0,-12,"google, search-gpt",medical marijuanas qld cost,Informational,10
http://www.polln.com/,3.09,2,147,0,0,0,2,1,0,0,0,147,75,0,72,,polln,Navigational,0
https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,2.24,43,107,0,5,26,0,1,0,6,99,0,0,0,-10,"google, search-gpt",vaping weed,Informational,5
https://www.polln.com/locations/adelaide,1.13,74,54,0,3,16,0,1,0,5,49,0,0,0,-1,google,list of authorised prescribers sa,Informational,4
https://www.polln.com/locations/perth,1.13,111,54,0,2,23,1,0,0,7,47,0,0,0,9,google,medical marijuanas perth,Informational,5
https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know,0.88,15,42,0,0,6,0,0,0,0,42,0,0,0,2,google,can you smoke medical marijuanas in australia in public,Informational,4
https://www.polln.com/contact,0.88,4,42,0,0,0,4,3,0,0,0,42,41,0,-76,google-ai,pollin,Navigational,1
https://www.polln.com/practitioners/dr-joel-wren,0.52,37,25,0,1,12,1,5,0,7,17,0,2,0,1,google,dr joel wren,Informational,3
https://www.polln.com/locations/brisbane,0.37,82,18,0,7,13,0,0,0,6,12,0,0,0,-22,google,list of authorised prescribers qld,Informational,2
https://www.polln.com/faqs/do-my-prescriptions-expire,0.33,56,16,0,0,21,1,1,0,0,16,0,0,0,1,"google, google-ai",how long do scripts last,Informational,13
https://www.polln.com/locations/melbourne,0.29,43,14,0,1,5,2,0,0,2,11,0,0,0,-14,,list of authorised prescribers victoria,Informational,0
https://www.polln.com/faqs/how-do-i-access-repeat-prescriptions-of-my-medication,0.25,2,12,0,0,0,2,2,0,0,0,12,12,0,2,gemini,polln login,"Transactional, Navigational",1
https://www.polln.com/pricing,0.25,7,12,0,2,0,4,3,0,7,0,5,5,0,1,"google-ai, search-gpt",polln review,Navigational,2
https://www.polln.com/our-doctors,0.23,22,11,0,0,1,2,1,0,0,0,11,11,0,0,,pollin,Navigational,0
https://www.polln.com/library/getting-access-to-prescription-natural-medicine-in-australia,0.23,52,11,0,0,18,0,1,0,0,11,0,0,0,-38,"gemini, google, google-ai",how to get medical marijuanas card australia 2024,Informational,15
https://qa.polln.com/,0.21,1,10,0,0,0,1,1,0,0,0,10,10,0,10,,polln login,"Transactional, Navigational",0
https://www.polln.com/faqs/how-do-i-get-a-medical-card-in-australia,0.18,11,9,0,0,5,0,0,0,0,9,0,0,0,9,google,med card,Informational,2
https://www.polln.com/locations/hobart,0.18,22,9,0,0,2,2,0,0,0,0,9,0,0,-5,"gemini, google-ai",cannabis doctors tasmania,"Navigational, Informational",2
https://www.polln.com/locations/sydney,0.16,43,8,0,1,6,0,0,0,0,8,0,0,0,0,"google, google-ai",medical cannabis prescription sydney,Informational,2
https://www.polln.com/locations/sunshine-coast,0.14,9,7,0,3,3,0,0,0,2,5,0,0,0,0,,medical cannabis sunshine coast,"Commercial, Informational",0
https://www.polln.com/library/pharmacy-dispensing-limits-and-intervals,0.14,6,7,0,0,6,0,0,0,0,7,0,0,0,0,google-ai,drug schedules australia,Informational,1
https://www.polln.com/locations/canberra,0.1,32,5,0,1,5,0,0,0,0,5,0,0,0,0,"google, search-gpt",medical marijuanas canberra,Informational,2
https://www.polln.com/library/cbd-oil-explained,0.08,41,4,0,3,7,0,0,0,2,3,0,0,0,-37,google,what is cbd oil,Informational,3
https://www.polln.com/alternative-healthcare,0.08,4,4,0,3,0,1,0,0,4,0,0,0,0,0,"gemini, google-ai, search-gpt",polln review,Commercial,6
https://www.polln.com/condition/mental-health,0.08,4,4,0,2,0,2,1,0,0,0,4,4,0,4,search-gpt,polln login,"Commercial, Navigational",1
https://shop.polln.com/products/volcano-medic-2,0.06,4,3,0,1,4,0,1,0,3,3,0,0,0,-1,,volcano medic 2 australia,Informational,0
https://www.polln.com/locations/gold-coast,0.06,11,3,0,2,3,0,0,0,0,3,0,0,0,2,,medical cannabis gold coast,Informational,0
https://www.polln.com/faqs,0.04,5,2,0,3,0,1,0,0,2,0,0,0,0,-7,"gemini, google-ai, search-gpt",polln review,Commercial,10
https://www.polln.com/faqs/what-is-an-authorised-prescriber,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,authorised prescriber,Informational,0
https://www.polln.com/library/the-endocannabinoid-system-explained,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/library/medicinal-cannabis-and-driving-what-you-need-to-know-as-a-patient-in-australia,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,"google, google-ai",how long can you drive after weed,Informational,9
https://www.polln.com/practitioners/dr-gavin-mcauley,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/faqs-section/bookings-and-payments,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/practitioners/stephanie-grunberg,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/faqs/can-i-choose-which-medication-i-want,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://shop.polln.com/collections/storz-and-bickel,0,7,0,0,0,1,3,1,0,0,0,0,0,0,0,,tga approved vaporisers,Navigational,0
https://www.polln.com/faqs-section/my-medication-and-prescription,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/faqs/can-i-track-my-order,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,google-ai,polln dashboard,"Transactional, Navigational",1
https://www.polln.com/library/natural-therapies-prescription-natural-medicine-and-sleep-disorders,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,google,polln review,Commercial,1
https://qa-admin.polln.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/locations/darwin,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,,medical cannabis nt,"Transactional, Informational",0
https://shop.polln.com/collections/all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/faqs/how-does-polln-work,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,"gemini, google-ai, search-gpt",polln dashboard,"Transactional, Navigational",7
https://www.polln.com/how-it-works,0,4,0,0,0,0,3,2,0,0,0,0,0,0,-4,"gemini, google-ai, search-gpt",polln dashboard,Navigational,7
https://www.polln.com/faqs/how-do-i-book-a-consultation,0,4,0,0,0,0,3,1,0,0,0,0,0,0,-1,google-ai,polln dashboard,Navigational,1
https://qa.consultation.polln.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/faqs/can-i-claim-polln-medication-or-services-on-my-private-health-insurance,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
https://www.polln.com/practitioners/dr-bruna-leite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
