Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
polln,1,1,2900,32,0,https://www.polln.com/,2320,48.77,0,0.06,67700,"44, 66, 66, 53, 44, 44, 44, 53, 81, 35, 53, 81",2026-04-28 22:58:24,"Local pack, Sitelinks, Video, Related searches","navigational, transactional",Organic
polln login,1,1,720,12,3.68,https://patient.polln.com/,576,12.1,2119,0.02,51,"100, 81, 81, 54, 54, 81, 81, 67, 54, 81, 100, 67",2026-04-18 01:41:55,"Sitelinks, Video, Related searches","navigational, transactional",Organic
polln,1,1,2900,32,0,http://www.polln.com/,75,1.57,0,0.06,67700,"44, 66, 66, 53, 44, 44, 44, 53, 81, 35, 53, 81",2026-04-28 22:58:24,"Local pack, Sitelinks, Video, Related searches","navigational, transactional",Local pack
polln contact,1,0,90,14,4.26,http://www.polln.com/,72,1.51,306,0.13,52,"63, 100, 100, 63, 63, 63, 100, 81, 63, 100, 63, 81",2026-04-28 06:23:21,"Local pack, Related searches",navigational,Local pack
poln,1,1,90,28,4.24,https://www.polln.com/,72,1.51,305,0.29,3030000,"11, 100, 11, 11, 100, 64, 29, 64, 100, 64, 52, 41",2026-04-29 06:58:42,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
pollin,1,1,260,24,2.33,https://www.polln.com/,64,1.34,149,0.15,2500000,"43, 43, 53, 53, 66, 66, 66, 66, 66, 100, 66, 43",2026-03-28 10:58:45,Related searches,"navigational, transactional",Organic
difference between indica and sativa,1,1,1000,69,0,https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,60,1.26,0,0,22000000,"67, 67, 67, 76, 67, 76, 76, 76, 55, 100, 55, 100",2026-03-23 20:10:38,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
how long does weed stay in your system australia,1,1,880,35,0,https://www.polln.com/library/how-long-does-cannabis-stay-in-your-system,53,1.11,0,0,0,"37, 100, 84, 100, 100, 68, 31, 1, 1, 1, 2, 2",2026-03-17 19:39:01,"Video, Related searches, Discussions and forums, AI overview",informational,AI overview
polln,1,1,2900,32,0,https://www.polln.com/,52,1.09,0,0.06,67700,"44, 66, 66, 53, 44, 44, 44, 53, 81, 35, 53, 81",2026-04-28 22:58:24,"Local pack, Sitelinks, Video, Related searches","navigational, transactional",Local pack
vaping weed,1,0,1300,54,0,https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,45,0.94,0,0,195,"0, 0, 0, 0, 0, 0, 0, 0, 81, 100, 81, 53",2026-04-04 23:25:49,"Sitelinks, Video, Video Carousel, People also ask, AI overview",informational,AI overview
