Postcode,Total,Not Approved,Booked,Approved,Active,Discharged,Discharged Patient,HOLD,Inactive - Active,Inactive - Approved,Inactive - Booked,Inactive - NA
Caboolture,123,4,1,0,12,20,3,0,13,3,27,40
Deception Bay,107,1,4,1,5,16,1,0,23,5,25,26
Morayfield,105,1,2,1,16,9,0,1,16,3,21,35
Port Macquarie,96,3,2,0,10,22,0,0,19,4,19,17
Melbourne,94,7,5,0,6,9,3,0,19,1,15,29
Kallangur,86,2,2,0,6,11,2,0,12,4,17,30
Redbank Plains,85,1,0,0,2,6,4,0,16,6,19,31
Coffs Harbour,72,1,0,1,13,14,1,0,8,3,12,19
Kelso,70,1,1,1,8,10,0,0,17,2,14,16
Emerald,69,0,2,0,4,7,1,0,19,2,13,21
Newtown,69,2,2,1,8,7,1,0,11,2,19,16
Kingston,65,1,1,0,4,10,2,0,11,0,19,17
Southport,64,1,0,0,6,6,1,0,10,1,17,22
Preston,63,5,2,0,8,9,1,0,10,0,12,16
Dubbo,62,1,0,0,3,15,4,0,11,1,11,16
Orange,62,0,0,0,4,11,2,0,15,0,9,21
Pakenham,62,2,2,0,7,11,2,0,10,0,14,14
Kirwan,61,0,1,0,4,9,3,0,13,1,9,21
Pimpama,61,1,2,0,15,3,1,0,7,1,9,22
Frankston,60,0,0,1,3,18,0,0,7,1,14,16
Sydney,60,3,1,0,9,2,0,0,14,2,9,20
Burpengary,59,1,2,0,7,9,2,0,9,3,11,15
Labrador,59,2,1,0,2,6,2,0,4,3,15,24
Richmond,59,1,1,0,3,4,1,0,10,2,17,20
Woodridge,58,1,0,0,3,7,2,0,9,3,15,18
Sunbury,56,5,2,0,9,2,1,0,12,0,10,15
Werribee,55,4,2,0,6,9,1,0,8,2,11,12
Nerang,53,0,2,0,3,6,1,0,7,2,7,25
Brisbane,52,0,0,0,5,10,0,0,12,0,8,17
Nambour,52,2,1,1,7,9,1,0,8,4,6,13
Reservoir,52,1,2,0,7,6,3,0,8,1,15,9
Blacktown,51,2,1,0,6,7,0,0,4,1,15,15
Armidale,50,4,1,1,1,16,0,0,10,2,7,8
Coomera,50,0,2,0,2,4,0,0,7,0,19,16
St Kilda,50,2,3,0,6,5,1,0,6,2,14,11
Upper Coomera,50,1,0,0,10,6,0,0,8,2,6,17
Hamilton,49,2,0,0,5,9,1,0,6,1,13,12
Maryborough,49,1,0,0,5,8,1,0,6,1,11,16
Gympie,48,1,0,0,4,3,2,0,14,0,8,16
Maroochydore,47,0,0,0,7,4,0,0,9,3,6,18
Marrickville,47,3,2,0,5,5,1,0,12,2,8,9
Nowra,47,0,1,0,0,13,1,0,6,2,5,19
Shepparton,46,2,2,0,1,6,1,0,5,3,10,16
Wodonga,46,1,0,1,5,5,2,0,10,3,7,12
Parkes,45,0,0,1,2,8,0,0,9,0,8,17
Chermside,44,0,0,0,2,6,0,1,11,0,7,17
Inala,44,1,0,0,3,9,0,0,6,1,9,15
Leichhardt,44,1,1,0,4,7,0,0,6,0,11,14
Scarborough,44,3,2,0,4,4,1,0,10,2,4,14
Eagleby,43,1,0,1,5,3,1,0,9,0,9,14
Goulburn,43,1,0,0,3,8,0,0,8,0,12,11
Mildura,43,1,4,0,2,8,0,0,6,0,13,9
Warwick,43,0,0,0,2,12,2,0,5,3,8,11
Buderim,42,1,0,0,6,4,1,0,9,1,7,13
Redcliffe,42,0,0,1,3,5,0,0,10,1,11,11
Surfers Paradise,42,0,5,0,4,4,1,0,8,0,7,13
Tamworth,42,0,0,0,5,12,0,0,12,3,0,10
Torquay,42,1,0,0,6,4,0,0,15,1,5,10
Warrnambool,42,0,1,0,3,6,2,0,14,1,6,9
Wollongong,42,0,1,1,4,6,0,0,3,0,7,20
Alexandra Hills,41,0,0,1,4,6,1,0,7,0,10,12
Capalaba,41,1,0,0,6,4,0,0,5,1,7,17
Narangba,41,2,1,0,2,5,1,0,5,0,12,13
Yarrabilba,41,0,1,0,0,6,2,0,8,2,8,14
Gosnells,40,1,0,0,1,7,1,0,11,2,8,9
Gracemere,40,1,0,1,8,3,1,0,8,1,8,9
Logan Central,39,0,1,0,0,3,0,0,12,0,6,17
Mackay,39,0,0,0,2,10,0,0,11,0,4,12
Mandurah,39,0,0,0,2,9,2,0,8,1,3,14
Redland Bay,39,1,0,0,5,3,1,0,11,0,7,11
South Yarra,39,1,1,0,7,1,0,0,11,1,4,13
West End,39,1,0,1,6,5,0,0,6,3,8,9
Campbelltown,38,0,2,0,5,8,1,0,6,1,8,7
Cannonvale,38,0,1,0,9,2,3,0,9,0,4,10
Goodna,38,0,1,0,4,2,0,0,6,3,10,12
Raymond Terrace,38,1,0,0,2,14,0,0,4,1,6,10
Belmont,37,0,2,0,2,5,0,0,5,1,6,16
Berserker,37,1,1,1,5,0,2,0,8,1,5,13
Brunswick,37,1,3,1,7,1,0,0,4,2,8,10
Clermont,37,0,1,0,5,1,0,0,13,3,8,6
Loganlea,37,1,1,0,3,2,0,0,6,2,4,18
Marsden,37,0,0,0,1,7,4,0,9,0,7,9
Morwell,37,0,0,2,3,7,0,0,6,3,7,9
Perth,37,1,1,0,5,4,0,0,6,1,6,13
Baldivis,36,0,0,1,0,5,1,0,9,4,4,12
Beenleigh,36,0,0,0,3,4,0,0,7,1,7,14
Epping,36,1,0,0,4,8,3,0,3,0,11,6
Maroubra,36,0,1,0,1,8,1,0,8,2,4,11
Point Cook,36,3,0,0,2,2,0,0,5,0,6,18
Crestmead,35,1,1,0,2,5,0,0,6,2,7,11
Dalby,35,0,0,0,7,3,1,0,9,1,5,9
Forster,35,3,1,0,6,4,1,0,10,1,0,9
Helensvale,35,0,0,0,3,4,0,0,11,2,5,10
Kingaroy,35,0,0,0,1,9,0,0,11,0,8,6
Traralgon,35,0,0,1,2,7,1,0,7,2,4,11
Casino,34,2,0,0,4,10,2,0,5,0,2,9
Springwood,34,1,2,0,3,1,1,0,9,1,6,10
Bracken Ridge,33,0,0,1,8,3,0,0,4,1,8,8
Devonport,33,0,0,0,4,2,0,0,7,1,9,10
Frenchville,33,0,0,0,6,5,1,0,13,1,1,6
Gladstone,33,0,0,0,0,6,0,0,5,0,8,14
Liverpool,33,0,0,0,2,7,0,0,9,0,3,12
Penrith,33,0,0,0,5,6,1,1,4,0,11,5
Strathpine,33,0,1,0,1,6,0,0,4,0,6,15
Taree,33,2,0,0,2,6,1,0,1,1,8,12
Acacia Ridge,32,0,0,0,1,4,1,0,4,1,3,18
Cessnock,32,0,0,0,3,6,0,0,5,2,5,11
Oxenford,32,0,0,0,6,3,2,0,8,1,3,9
Urangan,32,0,0,0,6,5,0,0,3,1,5,12
Windsor,32,0,2,0,1,5,3,0,5,1,7,8
Wynnum,32,0,0,0,7,4,1,0,6,0,5,9
Brassall,31,0,1,0,3,4,0,0,12,1,7,3
Broome,31,1,1,0,7,5,0,0,5,0,4,8
Clinton,31,1,0,0,5,5,2,0,9,0,4,5
Fortitude Valley,31,0,1,0,1,5,0,0,8,0,2,14
Griffin,31,0,1,0,2,3,1,0,4,3,8,9
Kingswood,31,1,0,0,1,2,0,0,8,5,6,8
Moranbah,31,1,2,0,2,1,0,0,11,0,7,7
Portland,31,1,0,0,8,2,4,0,6,0,5,5
Seven Hills,31,1,0,1,4,3,2,0,6,2,1,11
Waterford West,31,0,0,0,2,0,0,0,7,0,7,15
Bathurst,30,0,0,0,3,9,1,0,5,0,2,10
Brighton,30,1,0,0,3,0,0,0,6,0,10,10
Browns Plains,30,1,1,1,0,5,1,0,4,1,3,13
Caulfield North,30,1,1,1,8,2,0,0,9,0,4,4
Cleveland,30,0,0,0,4,7,1,0,4,1,1,12
Essendon,30,3,0,0,4,1,0,0,6,1,8,7
Kensington,30,1,0,0,0,4,0,0,9,0,7,9
Palm Beach,30,0,1,0,3,1,3,0,10,1,2,9
Park Ridge,30,1,1,0,2,1,0,0,8,2,9,6
Rockingham,30,0,0,0,6,5,1,0,3,2,2,11
Springfield Lakes,30,1,0,0,2,0,1,0,8,1,10,7
Surry Hills,30,0,0,0,3,6,1,0,3,1,5,11
Beaconsfield,29,0,1,0,3,3,2,1,4,1,6,8
Cranebrook,29,1,0,0,3,11,0,0,3,2,3,6
Glenroy,29,1,1,0,3,7,0,0,4,1,8,4
Mount Barker,29,0,1,0,6,4,0,0,6,1,4,7
Norman Gardens,29,1,1,0,2,3,1,0,5,3,5,8
Petrie,29,0,0,0,6,1,1,0,9,0,2,10
Slacks Creek,29,0,0,0,4,2,1,0,4,2,8,8
Toowoomba,29,0,0,0,3,3,1,0,6,0,2,14
West Gladstone,29,0,0,0,6,0,1,0,7,0,4,11
Wynnum West,29,1,0,0,6,2,1,0,3,2,6,8
Zillmere,29,0,0,1,1,8,0,0,3,0,1,15
Bankstown,28,0,0,0,3,3,0,0,4,2,8,8
Bellbird Park,28,0,2,0,3,1,1,0,8,1,4,8
Biggera Waters,28,2,0,0,2,3,1,0,6,0,3,11
Birkdale,28,0,1,0,5,1,0,0,6,1,4,10
Broken Hill,28,0,0,0,3,8,0,0,6,1,2,8
Carlton,28,2,1,0,2,2,1,0,7,1,2,10
Forest Lake,28,1,3,0,4,0,2,0,6,0,4,8
Morningside,28,1,3,0,3,1,1,0,2,1,8,8
Norlane,28,0,1,0,3,7,0,0,4,2,6,5
Redfern,28,0,2,0,3,3,0,0,3,1,9,7
Southbank,28,1,1,0,5,0,2,0,1,0,10,8
Waikiki,28,0,1,0,1,9,1,0,4,2,5,5
Andergrove,27,0,1,0,3,5,0,0,5,0,6,7
Bayswater,27,1,0,0,7,3,0,0,5,3,2,6
Beerwah,27,1,0,0,5,3,1,0,7,1,3,6
Coburg,27,0,2,0,1,2,2,0,4,3,6,7
Gosford,27,1,0,0,4,4,1,0,2,0,7,8
Greenslopes,27,0,1,0,3,2,1,0,5,3,5,7
Guildford,27,1,0,0,2,10,0,0,4,1,4,5
Lavington,27,0,0,0,2,3,1,0,2,0,7,12
Logan Reserve,27,0,0,0,3,3,0,0,5,1,7,8
Mooloolaba,27,0,0,0,1,5,1,0,9,1,2,8
Mount Gambier,27,1,0,0,8,4,1,0,3,2,3,5
